	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
0	2016-05-25	14.41	99.62	117.89	45.17	708.35	52.12
1	2016-05-24	14.03	97.9	117.7	45.36	704.2	51.59
2	2016-05-23	14.41	96.43	115.97	44.2877185267	696.75	50.03
3	2016-05-20	14.43	95.22	117.35	44.217895547	702.8	50.62
4	2016-05-19	14.15	94.2	116.81	43.4398680594	698.52	50.32
5	2016-05-18	14.14	94.56	117.65	43.2503485432	697.45	50.81
6	2016-05-17	14.34	93.49	117.35	42.1730797141	695.27	50.51
7	2016-05-16	14.29	93.88	118.67	42.0833073117	710.66	51.4632062119
8	2016-05-13	14.1	90.52	119.81	40.8763672347	710.22	50.7185138589
9	2016-05-12	14.08	90.32	120.28	35.4800483782	717.93	51.1454708079
10	2016-05-11	14.59	92.51	119.52	35.9688092358	713.23	50.6887261647
11	2016-05-10	14.63	93.39	120.5	35.869062122	703.245	50.6589384706
12	2016-05-09	14.2	92.82	119.24	35.1907817482	679.75	49.7156614901
13	2016-05-06	14.4	92.72	119.49	35.2406553051	673.95	50.033396894
14	2016-05-05	14.12	93.24	117.81	34.8815656954	659.09	49.5865814822
15	2016-05-04	14.84	93.6176910777	118.06	34.6720967565	670.9	49.5170768626
16	2016-05-03	14.01	94.6016757275	117.43	35.4800483782	671.32	49.4277137802
17	2016-05-02	14.4	93.0809721778	118.57	35.8939989005	683.85	50.2518399843
18	2016-04-29	14.62	93.1803645667	117.58	35.4401495327	659.59	49.5170768626
19	2016-04-28	14.64	94.231439079	116.73	36.1084551952	602.0	49.5766522508
20	2016-04-27	14.86	97.2256347937	108.89	37.2156481583	606.57	50.5795046196
21	2016-04-26	17.75	103.715957787	108.76	36.3877471138	616.88	51.0759661883
22	2016-04-25	17.09	104.441522226	110.1	36.3578229797	626.2	51.7412246904
23	2016-04-22	17.23	105.037876559	110.56	36.1782781748	620.5	51.413560055
24	2016-04-21	17.51	105.326114487	113.44	36.3179241341	631.0	55.3852526047
25	2016-04-20	17.4	106.479066198	112.42	36.3578229797	632.99	55.1965972086
26	2016-04-19	16.92	106.260402942	112.29	36.2181770203	627.9	55.9909357185
27	2016-04-18	17.31	106.826939559	110.45	36.8765079714	635.35	56.0604403381
28	2016-04-15	17.58	109.182539175	109.64	37.0361033535	625.89	55.2561725968
29	2016-04-14	17.53	111.418867925	110.84	36.7468367235	620.75	54.968224887
30	2016-04-13	17.36	111.338558874	110.51	36.6470896097	614.82	54.9582956556
31	2016-04-12	16.57	109.768954269	110.61	35.7493655855	603.17	54.2632494594
32	2016-04-11	16.51	108.377460825	108.99	35.789264431	595.93	53.9256555927
33	2016-04-08	16.65	107.999769747	110.63	35.5698207806	594.6	54.0348771378
34	2016-04-07	16.98	107.880498881	113.64	35.3404024189	591.43	54.0745940633
35	2016-04-06	17.26	110.285794691	113.71	35.70946674	602.08	54.729923334
36	2016-04-05	17.05	109.142782219	112.22	35.6595931831	586.14	54.173886377
37	2016-04-04	17.09	110.405065558	112.55	35.70946674	593.19	55.0377295066
38	2016-04-01	15.98	109.321688519	116.06	36.0585816383	598.5	55.1767387458
39	2016-03-31	16.55	108.327764631	114.1	35.5398966465	593.64	54.8391448791
40	2016-03-30	16.36	108.894301247	114.7	35.6695678944	598.69	54.6604187144
41	2016-03-29	15.97	107.045602814	116.14	35.3005035734	593.86	54.3228248477
42	2016-03-28	15.6	104.550853854	113.69	34.7419197361	579.87	53.1611047769
43	2016-03-24	15.91	105.02793732	113.05	34.3928048378	582.95	53.8263632789
44	2016-03-23	16.01	105.485142309	112.54	34.3429312809	569.63	53.588061726
45	2016-03-22	16.86	106.071557403	112.25	33.7643980209	560.48	53.6873540397
46	2016-03-21	16.89	105.266479053	111.85	33.8242462892	553.98	53.4788401809
47	2016-03-18	16.85	105.276418292	111.45	33.7244991754	552.08	53.11145862
48	2016-03-17	16.85	105.157147426	111.02	32.7370027488	559.44	54.2731786908
49	2016-03-16	16.7	105.326114487	112.18	33.0162946674	574.27	53.9653725182
50	2016-03-15	16.19	103.944560281	110.67	32.0587223749	577.02	53.2107509338
